Year	Month	TMax	TMin	PAR	PREC	CO2
2000	10	16.59	1.76	303.16	19.96	370.26
2000	11	10.23	-5.25	315.22	17.18	370.32
2000	12	5.9	-8.21	287.85	18.09	370.3
2001	1	6.52	-6.71	307.26	39.57	370.43
2001	2	4.65	-7.83	396.52	25.4	370.78
2001	3	11.33	-3.92	477.54	21.71	370.87
2001	4	13.94	-1.45	502.85	16.01	370.81
2001	5	21.16	4.72	513.42	38.3	370.94
2001	6	28.64	10.0	519.62	49.69	370.99
2001	7	29.63	13.0	456.13	80.75	370.9
2001	8	29.49	12.06	431.7	53.19	371.22
2001	9	25.69	7.94	455.56	6.15	371.44
2001	10	17.69	0.93	369.98	49.64	371.69
2001	11	9.12	-4.97	277.11	21.36	371.74
2001	12	5.88	-8.82	292.08	8.15	371.92
2002	1	7.59	-8.9	303.41	5.62	372.3
2002	2	10.37	-4.83	417.55	20.32	372.33
2002	3	12.04	-4.06	478.43	10.97	372.44
2002	4	20.63	1.7	489.52	4.06	372.37
2002	5	23.41	5.0	539.03	24.91	372.81
2002	6	25.82	9.63	519.95	76.83	373.3
2002	7	28.71	12.25	453.31	61.31	373.42
2002	8	25.75	10.77	484.21	123.27	373.52
2002	9	22.55	7.09	376.51	40.89	374.11
2002	10	16.92	1.74	350.91	30.99	373.88
2002	11	13.7	-2.62	294.43	2.77	374.34
2002	12	7.45	-7.39	261.3	24.79	374.54
2003	1	6.47	-8.11	314.0	12.6	374.63
2003	2	10.15	-6.39	299.27	1.19	374.77
2003	3	15.9	-3.0	446.59	3.16	374.8
2003	4	19.66	0.68	501.2	4.27	375.06
2003	5	28.21	6.56	522.65	1.09	375.55
2003	6	28.28	10.09	512.27	8.1	376.03
2003	7	31.09	13.37	510.47	53.5	376.19
2003	8	27.68	11.16	438.77	85.69	376.08
2003	9	22.24	6.72	445.74	82.62	376.48
2003	10	17.73	1.96	353.42	64.06	376.47
2003	11	12.28	-3.86	278.11	34.7	376.81
2003	12	4.7	-7.65	280.09	21.42	376.75
2004	1	5.0	-8.42	284.56	26.39	376.78
2004	2	3.92	-7.73	375.61	68.44	377.02
2004	3	8.56	-4.33	456.73	71.91	377.23
2004	4	16.73	1.09	429.11	23.96	377.62
2004	5	19.84	5.23	526.45	56.11	377.48
2004	6	27.22	10.1	505.34	28.63	377.39
2004	7	28.7	12.63	483.47	68.58	376.94
2004	8	27.16	13.05	459.21	168.74	377.74
2004	9	20.68	4.77	407.56	30.57	377.62
2004	10	17.05	1.38	336.03	48.71	377.82
2004	11	8.02	-4.77	268.65	45.53	378.31
2004	12	5.8	-7.27	297.96	22.41	378.31
2005-2050	1	5.99	-6.74	262.41	6.57	378.21
2005-2050	2	5.96	-6.86	314.22	22.36	378.93
2005-2050	3	11.67	-4.26	436.05	4.6	379.27
2005-2050	4	17.65	-0.85	482.93	0.84	379.65
2005-2050	5	23.99	5.2	507.51	12.38	379.31
2005-2050	6	28.85	7.77	520.21	2.89	379.88
2005-2050	7	29.81	11.93	503.43	55.14	380.18
2005-2050	8	28.81	10.98	459.04	23.41	380.42
2005-2050	9	28.05	9.06	426.85	10.13	380.01
2005-2050	10	21.02	0.57	332.68	1.15	380.31
2005-2050	11	15.94	-1.72	307.15	4.63	380.5
2005-2050	12	7.0	-7.17	285.14	25.83	380.9
